question,status,answer
忘記密碼怎麼辦？,True,若是忘記公司系統密碼，請參考下方附件檔案【webmail登入&變更密碼】操作。若是其他密碼忘記，請聯繫相關承辦人或IT人員協助重設密碼。
妳好，有同仁的公司密碼過期了沒有更改 導致帳號被鎖定 該怎麼辦呢?,True,"請該同仁聯繫IT部門的承辦人員，協助重設密碼並解鎖帳號。
謝悰宇/8965/SamXie@wistronits.com"
BPM 查詢薪資的密碼無法重置，因為郵件信箱設錯，為什麼不直接設定為公司信箱,True,很抱歉，我無法回答以上問題，請聯絡Maggie/#8839/MaggieWu@wistronits.com。
請問個人薪資勞退提撥 可以用之前的檔案回傳嗎,False,很抱歉，我無法回答以上問題，請聯絡8855。
"Maggie跟我說有結婚禮金可以申請
要我問你",True,請來信告知承辦人您的員工編號及申請事由，並附上喜帖正本2份或戶籍謄本影本2份，交給承辦人辦理或郵寄至新北市汐止區新台五路一段93號32樓－賴文政先生。申請對象為公司之補助將納入年度薪資所得。如果有任何問題，請聯絡Jason/#8845/Jasonlai@wistronits.com。
請問休假結算日是哪一天呀？如果我個人假安排在30號，是不是有什麼要注意的地方？,True,休假結算日為每年的12月31日，若您的個人假安排在30號，需要注意的是，若當年度有剩餘個人假，系統會自動歸零，所以建議您可以提前安排休假，避免無法使用個人假的情況發生。若有其他問題，歡迎聯絡人資部門的Yui/#8836/YuiWong@wistronits.com。
"想問問
有沒有到職一個月後的那個問卷調查阿
的連結",False,很抱歉，我無法回答以上問題，請聯絡8855。
"您好
我想請問我的員工健康系統告知無此工號",False,很抱歉，我無法回答以上問題，請聯絡8855。
"我今天用chrome登入HR系統, 呈現下圖,請問系統有在維修嗎?
不過用Edge瀏覽器登入是正常畫面喔
不過在Edge瀏覽器 點選 考勤申請後  又變成以下空白畫面.....",False,很抱歉，我無法回答以上問題，請聯絡8855。
"你好
員工信箱無法登入
說密碼錯誤但我沒有改密碼",True,"若是信箱無法登入，請與Vito及William聯繫，他們可以協助處理。以下是聯絡方式：
陳源勝/8815/VitoChen@wistronits.com
高唯朕/8813/WilliamKao@wistronits.com"
你好，請問線上聽課的話會有網址嗎？,False,很抱歉，我無法回答以上問題，請聯絡8855。
想問說 軟工闖職涯的已現場報名，會有報名成功的通知之類的嗎？（如何知道自己已報名成功與否？,False,很抱歉，我無法回答以上問題，請聯絡8855。Sorry it is out of my knowledge. Please contact 8855 for further assistance.
不好意思，我今早要登入公司健康關懷系統，但系統卻說：我的工號不存在，如下圖，我的工號並無輸入錯誤,False,很抱歉，我無法回答以上問題，請聯絡8855。
"請問健康關懷系統是否有問題， 登入時 回覆工號不存在。
是否還需要填寫該系統？",True,很抱歉，我無法回答以上問題，請聯絡Melody健康諮詢專線（手機：0970-805-872，信箱：Melodychang@wistronits.com）尋求協助。
請問健康關懷系統，是否已經不用繼續填寫？,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問關於自提勞退提撥6%申請大概何時可以申請呢? 謝謝,False,很抱歉，我無法回答以上問題，請聯絡8855。
hi 請問，如果特休沒休完，會自動遞延到明年嗎？還是需要自己申請剩餘特休遞延到明年,True,可以展延至下一年度再使用，或是換成代金。同仁可使用「特休結算方式線上申請」功能進行申請，待HR完成審核後，當年度未休畢之時數將予以遞延或折現。若您想要遞延特休假，需要自行申請。Yui/#8836/YuiWong@wistronits.com
可以詢問大概什麼時候信件會寄出嗎？,True,很抱歉，我無法回答以上問題，請聯絡相關承辦人或人資部門。
健檢報告 會怎麼給我呢,True,很抱歉，我無法回答以上問題，請聯絡相關單位或負責人員詢問。
"請問我有申請確診的勞保補助
但一直卡公司",True,"請來信跟承辦人尋求協助，提供您的個人資料及申請資訊，我們將協助您處理。以下是承辦人的聯絡方式：
Yui/#8836/YuiWong@wistronits.com"
您好我的緯創人資服務平台帳號密碼錯誤，我明明打的是對的。,True,很抱歉，我無法回答以上問題，請聯絡Maggie (#8839/MaggieWu@wistronits.com)協助您處理。
請問一下，上面這個職涯分享會的活動，我有報名活動後觀看紀錄影片的部分，但沒有收到相關的連接，是還在處理中沒發出信件通知嗎?,False,很抱歉，我無法回答以上問題，請聯絡8855。Sorry it is out of my knowledge. Please contact 8855 for further assistance.
"您好我有薪資上的問題
勞保自提
我當初是勾選不願意提款
但是薪資明細上有提款金額",True,很抱歉，我無法回答以上問題，請聯絡HR Maggie (02-77458839/MaggieWu@wistronits.com)協助您解決問題。
"想問公司會有聖誕節活動嗎
好奇詢問一下",True,"很抱歉，我無法回答以上問題，請聯絡公司相關單位或聯絡人以獲得更詳細的資訊。您可以透過以下聯絡方式聯絡相關人員：

Choya/#8904/ChoyaLee@Wistronits.com
Jason/#8845/Jasonlai@wistronits.com
Judy/#8805/JudyChen@wistronits.com
Maggie/#8839/MaggieWu@wistronits.com
Yui/#8836/YuiWong@wistronits.com
Anita/#8888/AnitaChen@wistronits.com"
假單尚未簽核,True,請耐心等待假單簽核完成，若有緊急事情需要調整假單，請儘快聯絡您的主管或假單審核人。若有其他問題，請聯絡人資部承辦人。
想問一下有沒有新的IOS 緯創軟體App,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問 這個簽呈意思就是email沒錯吧,False,很抱歉，我無法回答以上問題，請聯絡8855。
不好意思，我剛剛有使用緯軟園地進行請假作業，因為有附件電子檔案比較大，第一次填寫好像沒成功，所以我又再填寫第二次將附件檔案變小，再請協助確認，如兩筆都申請成功，再請刪除其中一筆，抱歉造成你們的困擾！,True,請您提供您的員工編號及申請日期，我們會幫您確認是否有重複申請成功的情況，若有，我們會幫您刪除其中一筆。如果需要更進一步的協助，請聯絡Yui/#8836/YuiWong@wistronits.com。
您好，想請問推薦員工入職還有推薦獎金嗎？,True,"是的，公司鼓勵員工推薦新人加入公司，並依入職時的職等及職類發放3,000-20,000元推薦獎金，滿一個月先發50%，試用期通過再發50%。如有相關問題，請聯絡HR Maggie (02-77458839/MaggieWu@wistronits.com)。"
"不好意思，想請問這個活動「軟工闖職涯 - 跟對技術大神讓你少走10年冤枉路」在填寫問券的時候，有一個項目是有錄影檔案可以觀看
那麼錄影的觀看方式是之後會再公佈給當初報名的人員嗎？",True,很抱歉，我無法回答以上問題，請聯絡活動主辦單位或相關負責人員詢問。
想詢問一下員工服務處的Judy信箱是？,True,很抱歉，我無法回答以上問題，請聯絡Judy/#8953/JudyHsueh@wistronits.com。
你好，我想詢問一下 如之前發放的中秋禮券信件誤刪了，可以怎麼處理？,True,很抱歉，我無法回答以上問題，請聯絡ChoyaLee(#8904)或是寄信至ChoyaLee@Wistronits.com尋求協助。
哈囉！想請問是各組第一名都會有兩萬塊這樣嗎～還是是三組加在一起取20強呢,False,很抱歉，我無法回答以上問題，請聯絡8855。
小編所以我們沒有尾牙嗎？,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問要怎麼報名？,False,很抱歉，我無法回答以上問題，請聯絡8855。
入圍決賽的人1/16是要唱現場嗎,False,很抱歉，我無法回答以上問題，請聯絡8855。
想請問，個人假還剩幾天,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com詢問。
"請問密碼變更的安全性需求條件是什麼
主要是想知道密碼變更不可與N次變更紀錄內相同相關的條件",False,很抱歉，我無法回答以上問題，請聯絡8855。
請問變更銀行帳戶要怎麼申請,True,"請來信告知承辦人您的員工編號及申請事由，並附上新銀行帳戶的帳戶證明文件，承辦人將會協助您辦理變更銀行帳戶的手續。
Jason/#8845/Jasonlai@wistronits.com"
您好，請問公司有推薦新人的管道嗎？,True,"是的，公司鼓勵員工推薦新人加入公司，並依入職時的職等及職類發放3,000-20,000元推薦獎金，滿一個月先發50%，試用期通過再發50%。若您有推薦的人選，可以聯繫HR Maggie (02-77458839/MaggieWu@wistronits.com)。"
"1.您好，有同仁詢問 11月份react 課有缺一堂，可提供回看課程的連結嗎？
（因為沒有特別說哪一堂，若跟您索取全部課程的連結方便嗎？）
2.另外，同仁朮建平有回饋：

上次忘了在課後意見調查表回覆想學習的技術，希望可上Next.js, 尤其想瞭解它在前端的架構及優勢為何？

再請協助列入排課參考，謝謝！",True,"1.很抱歉，我無法回答第一個問題，因為沒有特別說明是哪一堂課程缺少，建議詢問者可以向課程主辦單位詢問。
2.感謝同仁朮建平的回饋，我會將此建議轉達給課程主辦單位，讓他們能夠參考並考慮在未來的課程中加入Next.js相關的內容。如果有其他問題或建議，歡迎隨時與我們聯繫。
Jason/#8845/Jasonlai@wistronits.com"
網頁版郵箱打不開了,False,很抱歉，我無法回答以上問題，請聯絡8855。
啊？線上主秀如果斷線不是很尷尬嗎？！,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問一下人資電話，因為銀行要照會,True,"很抱歉，我無法回答以上問題，請聯絡人資部門詢問相關資訊。以下是人資部門聯絡方式：
Maggie/#8839/MaggieWu@wistronits.com"
您好想請你們協助…查詢特休天數,True,"您好，您可以至HR Portal的""我的假期查詢""中查詢您的特休假可休／剩餘天數。若有任何問題，請聯絡Yui/#8836/YuiWong@wistronits.com。"
你好，現在HR Portal進不去，無法填寫加班,True,很抱歉，我無法回答以上問題，請聯絡Yui Wong (#8836) 或是 YuiWong@wistronits.com 以獲得更進一步的協助。
不好意思 想請問特休切換的截止點是依照年度還是到職日？,True,特休切換的截止點是依照年度，而非到職日。同仁可於當年度特休期間依個人需求提出結算方式的變更申請，HR將在您的特休週年結轉日前7日，依最後一筆系統紀錄辦理您的特休結算方式。若有任何疑問，歡迎來信詢問承辦人Yui/#8836/YuiWong@wistronits.com。
"Hi 
Vpn 無法登入 顯示驗證失敗
想請教怎麼確認是否過期？",True,"您好，若VPN無法登入且顯示驗證失敗，可能是因為您的VPN帳號或密碼錯誤，或是您的VPN帳號已過期。您可以聯繫VPN相關負責人或是IT部門的相關人員，確認您的VPN帳號是否過期，或是重新設定您的VPN帳號密碼。以下是相關聯絡人資訊：
謝悰宇/8965/SamXie@wistronits.com"
你好，現在HR Portal進不去，無法填寫加班,True,很抱歉，我無法回答以上問題，請聯絡Yui Wong (#8836) 或是 YuiWong@wistronits.com 以獲得更進一步的協助。
你好我想要重置我的緯軟園地的密碼 還有vpn密碼,True,"請問您需要重置緯軟園地密碼和VPN密碼嗎？如果是的話，請參考以下步驟：

1. 緯軟園地密碼重置：請至HR自助 >人事管理 >員工自助 >我的檔案 >個人資訊 >維護欲收取薪資條密碼之私人郵件地址>點擊保存。接著至HR自助 >薪資福利 >員工自助 >我的薪資>點選重置密碼，系統將發送薪資查詢密碼函至您上述指定之私人email。輸入初始查詢密碼後，再行登錄可自行按下修改密碼，改為您指定的薪資查詢密碼，未來若忘記密碼，亦請依上述步驟重置密碼。

2. VPN密碼重置：請使用SSL VPN(PaloAlto) 進行連線，使用手冊如下連結：https://freefiles.wistronits.com/Wistronits/PaloAltoSSLVPN/。如果您忘記了VPN密碼，請來信跟承辦人尋求協助，我們將協助您重置密碼。

如果以上步驟無法解決您的問題，請聯絡IT部門的謝悰宇(SamXie@wistronits.com)尋求協助。"
"您好 方便提供網工小周末的登入連結嗎?
感謝您!",False,很抱歉，我無法回答以上問題，請聯絡8855。
"你好~ 請問一下
近期有手術跟住院需求這兩項是不是能申請團保的給付呢",True,您好！是的，團保通常會包含住院、手術、意外傷害等理賠項目，可以申請相關的給付。詳細的保障內容及理賠範圍，您可以來信向人資部承辦人索取團保手冊。如果有其他問題，也歡迎隨時聯絡我們的聯絡人Yui，電子郵件為YuiWong@wistronits.com，分機號碼為#8836。
哈囉 請問個人假是依年度結算嗎,True,是的，個人假是依當年度在職時間做比例計算給假，當年度個人假沒用完，系統將自動歸零。如果您有其他問題，歡迎聯絡Yui/#8836/YuiWong@wistronits.com。
164,False,Failed to answer
Hi ，想請問一下，今年快年底了，公司還有沒有員工團保的調整計劃呀？,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
"您好，我剛剛有通過app進行請假，但資料有誤，可以先幫我取消嗎，我再另外申請，謝謝
第一次使用還不太明白，抱歉",True,若假單還沒審批完成，您可以請審批人收回審批，申請人就可以去調整時數或類別；若假單已審批完成，請提出銷假申請。如果您需要更詳細的協助，請聯絡假單承辦人Yui，電話號碼是#8836，Email是YuiWong@wistronits.com。
參加獎提到500？,False,很抱歉，我無法回答以上問題，請聯絡8855。
168,False,Failed to answer
"我有報名 軟工闖職涯- 跟對技術大神讓你少走10年冤枉路 線上講座但,那天加班沒趕上演講時間,請問有錄影可以補看嗎?",True,很抱歉，我無法回答以上問題，請聯絡Jason/#8845/Jasonlai@wistronits.com詢問相關資訊。
您好，我要使用請假系統但是交接人那一欄，我顯示不出任何人，用搜尋的也不行，請問有什麼辦法解決？謝謝,True,"請問您是否已經詢問過您的主管或人資部門相關問題呢？如果還是無法解決，請將問題畫面截圖Mail寄給承辦人，待系統廠商解決問題，承辦人會再回覆您。
聯絡人資訊：Yui/#8836/YuiWong@wistronits.com"
"想請問一下, 這代表我 2022年還有8小時可休假  對嗎?",False,很抱歉，我無法回答以上問題，請聯絡8855。
"TP2206066許立群已報名！
以防萬一這邊也傳連結：
https://joyparty.app.link/e/yN64XbhD2vb

謝謝您！聖誕快樂",False,很抱歉，我無法回答以上問題，請聯絡8855。
"下午好，想請問汐止總公司有月繳停車費嗎？
還是只能每天繳呢？",True,您好，汐止總公司有提供月繳的汽機車停車位，請您向地下四樓 (B4)的停管中心租用。機車車位：1個月/400元，汽車車位：1個月/3300元。詳細費用及租用方式，請依停管中心公告為主。如果您有其他問題，歡迎聯絡VicChao/#8927/VicChao@wistronits.com。
"你好 七月的時候用App請假 今天上系統看休假資料 發現七月那筆請假怪怪的
實際只請了兩小時 不知道是當時填錯還是怎麼樣 被算成請了兩天
請問是把所有特休申請整理成一次申請？",False,很抱歉，我無法回答以上問題，請聯絡8855。
早 請問因密碼沒定期改，登不進去要怎麼處理？,True,"請您先嘗試使用密碼重設功能，若仍無法登入，請聯絡您的系統管理員或是IT部門協助處理。以下是IT部門的聯絡人資訊：
謝悰宇/8965/SamXie@wistronits.com
高唯朕/8813/WilliamKao@wistronits.com"
"您好，想請問一下，我從HR系統的個人假期查詢，看到特休時數還有可用時長30小時
但是要請特休4小時的時候，系統卻告知請假時數已經超過
想請問是否是因為接近年底，開始統計假期導致無法請假呢？
不好意思麻煩了
另外剛好發現特休到期結算日是今天，由於我選擇了遞延，是否要等到明天才可以正常使用遞延的特休假期呢？",True,您好，根據您的描述，可能是因為您的特休假期已經超過了當年度可用的特休假期時數，所以無法再請假了。另外，特休假期的遞延是在特休到期結算日後才會生效，所以您需要等到明天才可以使用遞延的特休假期。如果您有任何其他問題，歡迎隨時聯繫人資部的聯絡人，Yui/#8836/YuiWong@wistronits.com。
"請問我是去年12/24到職，今天是12/27了，新的一年特休不是該產生了嗎
因為我去看portal沒有產生哩",True,"您好，根據公司的特休假規定，同仁需服務滿一定期間後才能享有特休假，而您是去年12/24到職，因此今年的特休假還未產生。若您有任何關於特休假的問題，歡迎至HR Portal""我的假期查詢""中查詢，或是聯絡Yui/#8836/YuiWong@wistronits.com。"
你好，我想詢問個人假的期限是到什麼時候,True,個人假的期限是在當年度內使用，若當年度未用完，則會自動歸零。如果您有其他假期相關問題，歡迎聯繫我們的人資部，聯絡方式為Yui/#8836/YuiWong@wistronits.com。
請問員工健檢的休假類別要選哪一種,True,健檢屬於年度特休假別，請在請假系統內的休假類別中選擇特休假。如有其他問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
"請問如何用手機變更密碼？
找不到位置設定",False,很抱歉，我無法回答以上問題，請聯絡8855。
不好意思，想請問總部員工每週一天的WFH該如何申請呢? 謝謝~~~,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問，20強什麼會出來呢?,False,很抱歉，我無法回答以上問題，請聯絡8855。
"您好，
我詢問2023年度團保眷屬及自費加退保調查大約什麼時候會開始呢?
上次也是在12月底左右，因為今年已經要結束了
但都沒有聽到消息，所以向您詢問一下

謝謝您",True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com詢問相關資訊。
"我想請問一下
我的時間是17：30~19：00
但它加班數一直是零
申請時長那裡",True,請問您是在哪個公司工作呢？如果是緯創軟體，您可以至HR Portal查詢您的加班申請單之審批，或者聯繫人資部承辦人Maggie/#8839/MaggieWu@wistronits.com，詢問您的加班申請單是否已經完成審核。另外，加班時間從您達到標準工時8小時後，依法定30分鐘休息時間後起計算加班時間，例如：晚上6點下班，則自6點半後開始計算加班時數。如果以上回答無法解決您的問題，請聯絡8855。
"請問，上個年度沒休完的特休假，折現金是什麼時候發放？
（我的入職日是10/21）",True,您可以透過「特休結算方式線上申請」功能，勾選未休時數結算方式並提交申請，待HR完成審核後，當年度未休畢之時數將予以遞延或折現。同仁可於結轉日後至「我的假期查詢－上期結餘」進行確認。若您的入職日是10/21，則您的特休假折現金會在當年度結轉日後發放。若有任何疑問，歡迎聯繫Yui/#8836/YuiWong@wistronits.com。
請問2022特休假剩餘時數，需要遞延，系統上沒辦法設定,False,很抱歉，我無法回答以上問題，請聯絡8855。
"12/27 、12/28、12/29
14:00-18:00
三天下午四小時個人假
12/30
09:00-18:00
一天整日個人假

已從APP上單",True,謝謝您的告知，您的假單已收到，請耐心等待審核結果。如果有任何問題，請聯絡人資部承辦人，聯絡方式為Yui/#8836/YuiWong@wistronits.com。祝您有個愉快的假期！
188,False,Failed to answer
請問我12/16的假單有key到系統嗎,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問公司網頁要怎摸登入？,False,很抱歉，我無法回答以上問題，請聯絡8855。
"剛才我在
HR 門戶的那個網站
做我 12 月的考勤申請

就是
https://hrmsportal.wistronits.com/portal/pt/home/view
這個網站
我看到右上角有 通知
我點開通知來看

看到一個  流程變更oooo 的東西
我點開來看
是關於我之前申請的假別
人資希望我換假別的一個  流程變更通知
這個流程變更通知
它以一個子視窗的方式被開啟

問我是否同意的感覺
然後我覺得我掌握的資訊不足
所以我還不想點任何按鈕
我就把這個子視窗關掉

結果....
一關掉
這個原本在 「通知」  裡有的這個 「流程變更oooooo」 就不見了
現在
我在通知
我在流程中心
我在消息中心
裡面都找不到它
我希望能協助二件事

一: 我該如何找回該則消息
二: 請協助幫我確認，那則 流程變更  只是一則通知的消息而已，還是說它是需要我幫忙簽核的 ?",True,很抱歉，我無法回答以上問題，請聯絡您的人資部門或相關單位，詢問該則消息的詳細內容及相關流程。
詢問內容摘要,True,很抱歉，請提供詢問內容摘要以便我回答。
您好，緯創的健康關懷系統 登入不進去,False,很抱歉，我無法回答以上問題，請聯絡8855。
我的APP不能用了可以給載點嗎,False,很抱歉，我無法回答以上問題，請聯絡8855。
"請問如要用自家電腦申請加班？如何操作

還沒有操作過
還是說手機可以申請嗎？
兩種方式可以都說明 ",True,若要用自家電腦申請加班，請先至HR Portal登入帳號，點選「我的考勤申請」，再選擇「加班申請」，填寫相關資訊後送出申請即可。若要用手機申請，也可以下載HR Portal App，登入帳號後選擇「加班申請」，填寫相關資訊後送出申請即可。若有任何問題，可以聯絡Yui/#8836/YuiWong@wistronits.com。
抱歉打擾確診已通報的請假 也是用病假嗎,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
請問為什麼我登入失敗,False,很抱歉，我無法回答以上問題，請聯絡8855。Sorry it is out of my knowledge. Please contact 8855 for further assistance.
請問我這邊因駐廠客戶要求我去台北出差，那我需要填寫出差單再做出差報銷嗎,True,是的，請填寫出差單並依照相關流程進行報銷。詳細流程可參考FAQ中的問題「申請【差旅費】報銷方式及檢附單據？」。如有其他問題，歡迎聯絡高譽慈/#8840/Elsakao@wistronits.com。
"想請問請假系統網址
如何查詢自己的假勤
謝謝",True,"請假系統網址為：https://hrmsportal.wistronits.com/portal/
您可以至HR Portal右下角選擇「我的考勤申請」，加班申請中查詢，於左下角＂搜索＂欄位設定搜尋期間，即可查詢自己的假勤。若有其他問題，歡迎聯絡人資部承辦人，聯絡方式為Yui/#8836/YuiWong@wistronits.com。"
"想問一個專業的問題
補班日有上班
那個補假 有期限嗎",False,很抱歉，我無法回答以上問題，請聯絡8855。
"你好,想請問一下,2023年個人的年假是否還沒顯示出來呢? 有預計何時會顯示嗎? 目前只有看到個人假",True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com詢問。
"請問未滿一年 年終是照在職比例嗎?
謝謝",True,是的，未滿一年的同仁在年終獎金的計算上會依照在職比例進行計算。若有任何疑問，請聯絡Judy/#8805/JudyChen@wistronits.com。
早安，問一下喔，好多人在問今年年終有說什麼時候會發,True,您好，根據公司的年終暨績效獎金發放原則，年終獎金會在農曆春節假期前發放，發給發放日當天仍在職的適用對象同仁，讓同仁可以好好採買年貨，過好年。如果您有其他相關問題，歡迎聯繫Judy/#8805/JudyChen@wistronits.com。
"不好意思，請問這邊可以問問題嗎？
想問是不是今年開始沒有生日禮卷了",True,很抱歉，我無法回答以上問題，請聯絡ChoyaLee@Wistronits.com (#8904 Choya)詢問相關資訊。
您好 如果對薪資有疑慮的話（有請病假但被扣全薪）該怎麼申請到明細或可以找誰處理呢～,True,"您可以至人資服務平台查詢薪資明細，方法如下：

1.先設定私人郵件地址：
進入HR自助 >人事管理 >員工自助 >我的檔案 >個人資訊 >維護欲收取薪資條密碼之私人郵件地址>點擊保存

2.首次查詢：
至HR自助 >薪資福利 >員工自助 >我的薪資>點選重置密碼，
系統將發送薪資查詢密碼函至您上述指定之私人email。（若您未收到，請試著至您垃圾郵件中查找，並將iSM_HRMS@wistronits.com此一寄件地址設定為安全之寄件者）
輸入初始查詢密碼後，再行登錄可自行按下修改密碼，改為您指定的薪資查詢密碼，未來若忘記密碼，亦請依上述步驟重置密碼

3.查詢薪資明細：
至HR自助 >薪資福利 >員工自助 >我的薪資，輸入欲查詢的月份即可

如果您仍有疑慮，可以聯絡人資部的Maggie (#8839/MaggieWu@wistronits.com)尋求協助。"
想請問公司的outlook信箱，若沒有連結公司內部網路，能否正常運作？,True,若沒有連結公司內部網路，Outlook信箱可能無法正常運作，因為需要透過公司內部網路才能與郵件伺服器連線。若有相關問題，請聯絡謝悰宇/8965/SamXie@wistronits.com。
您好 上個月多扣的勞退自提 這個月沒有退還給我,False,很抱歉，我無法回答以上問題，請聯絡8855。
"1.這個簽呈是會過的嗎？結婚快滿3個月，康寧主管也一直在問預計何時休假
Tina 回我了
2.為什麼不一致呢?
我知道 為什麼了.... 不過請問 1/2不算是國定假日嗎? 謝謝",False,很抱歉，我無法回答以上問題，請聯絡8855。
您好，我的特休假選擇不遞延直接換錢，請問會在什麼時後入帳？謝謝,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com詢問。
請問，我無法登入健康關懷系統，如圖,False,很抱歉，我無法回答以上問題，請聯絡8855。
"您好
1/2 加班單無法送出",True,"請將問題畫面截圖Mail寄給承辦人，待系統廠商解決問題，承辦人會再回覆您。
聯絡人：Yui/#8836/YuiWong@wistronits.com"
"我的outlook郵箱登不上，卡在認證頁面
請問要怎麼重置密碼？",True,很抱歉，我無法回答以上問題，請聯絡謝悰宇/8965/SamXie@wistronits.com或陳源勝/8815/VitoChen@wistronits.com尋求協助。
"您好
請問若在休假加班薪資年月查詢沒查到自己的休假日資訊
是不是就代表沒請到假
謝謝 
我在12月有請兩天 但這上面好像沒顯示",True,"請問您是否已經至HR Portal的""我的假期查詢""中查詢？如果您在休假加班薪資年月查詢沒有查到自己的休假日資訊，可能是因為您的休假申請單未於該區間完成審核，將於下月扣除。您可以至HR Portal查詢您的休假申請單之審批日期，若確定不是以上的因素，可以來電或Email詢問人資部承辦人。以下是聯絡人資訊：
Yui/#8836/YuiWong@wistronits.com"
我有問題!  實際上都沒有南部的影城可以選擇耶,False,很抱歉，我無法回答以上問題，請聯絡8855。Sorry it is out of my knowledge. Please contact 8855 for further assistance.
"緯軟園地APP顯示，系統異常，請至8855反應
好哦
下星期再麻煩",True,好的，如果您有任何其他問題，歡迎隨時聯絡我們的相關承辦人員，他們會很樂意為您提供協助。
請問這個帳號密碼?,False,很抱歉，我無法回答以上問題，請聯絡8855。
"您好
請問我11/3跟11/10有請到價嗎
我這便看HR系統還沒有我請假的紀錄",True,很抱歉，我無法回答以上問題，請聯絡Yui Wong (#8836) 或發送電子郵件至YuiWong@wistronits.com詢問。
"打 witsmovie 就好了嗎
要不要填什麼員工編號之類的",False,很抱歉，我無法回答以上問題，請聯絡8855。
我還是沒收到離職證明還有勞健保轉出單…請人資與我聯繫,True,"很抱歉，我無法回答以上問題，請聯絡人資部承辦人尋求協助。以下是聯絡方式：
Yui/#8836/YuiWong@wistronits.com
Maggie/#8839/MaggieWu@wistronits.com
Jason/#8845/Jasonlai@wistronits.com"
"1.哈囉
我想請教請假流程，
我選了個人假，也選了請假天數和時間，
為什麼時數沒有計算? 系統沒回應
一直無法送出請假單
2.另外我的 Teams 出了問題，
要問哪一位?",True,"1. 可能是系統出現問題，請將問題畫面截圖Mail寄給承辦人，待系統廠商解決問題，承辦人會再回覆您。若您的假單還沒審批完成，可請審批人收回審批，申請人就可以去調整時數或類別；若假單已審批完成，請提出銷假申請。
2. 您可以聯絡IT部門的相關人員，或是詢問您的主管。"
"請問準爸爸陪產檢，要怎麼請假呢
媽媽懷孕期間，有固定的產檢，需要怎麼請假呢？",True,配偶妊娠期間之產檢需求與分娩當天前後15天內得申請共7天，第6日、第7日需填寫受僱者聲明書正本寄回，得分開請領，為有薪假（僅供男性員工申請）。因此，準爸爸可以依照此規定提出申請。若有任何疑問，可以聯絡Yui/#8836/YuiWong@wistronits.com。
"請問喪假怎麼計算
家裡的阿公過世",True,入職後，有喪假事由得提出申請，依據親屬關係天數不一，得分開請假，為有薪假。如果是父母、養父母、繼父母、配偶喪亡者，給假八天(不含假日)。如果是祖父母、外祖父母、子女、配偶之父母或其養父母或其繼父母喪亡者，給假六天(不含假日)。如果是曾祖父母、兄弟姐妹、配偶之祖父母、配偶之外祖父母喪亡者，給假三天(不含假日)。如果您需要申請喪假，請向您的主管提出申請。如果有任何問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
"請問 ESS員工服務系統怎麼登入呢
用公司帳密嗎",True,請使用公司帳號密碼登入ESS員工服務系統，登入網址為https://ess.wistron.com/。若有任何問題，請聯絡IT部門相關人員。謝悰宇/8965/SamXie@wistronits.com
你好 請問緯創軟體是不是有員工優惠貸款呀?,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問一下，去年的特休，什麼時候會延到今年？,True,"若您已經申請遞延假，特休假的展延會在當年度結束後進行，也就是今年年底前，若您仍未休完，會直接轉換為代金。如果您需要進一步確認，請至HR Portal""我的假期查詢""中查詢，或是聯絡Yui/#8836/YuiWong@wistronits.com。"
"想問問
生日禮金有固定甚麼時候發嗎
一月份的壽星!",True,很抱歉，我無法回答以上問題，請聯絡Choya/#8904/ChoyaLee@Wistronits.com。
"不好意思 同仁有請教~喪葬奠儀的金額, thanks.",False,很抱歉，我無法回答以上問題，請聯絡8855。
嗨 你好 請問我要如何取得投保證明？我申請了我到這怎麼操作？,True,您好，如果您需要申請健保投保證明，請來信跟承辦人尋求協助，我們將協助您申請投保證明。承辦人的聯絡方式是Yui/#8836/YuiWong@wistronits.com。如果您需要申請其他保險相關事宜，也可以依照FAQ中的說明進行申請。
個人假，好了，因爲，我不清楚個人假和特休假的不同,True,"Answer: 個人假是公司以優於勞基法的休假方式給予的有薪假福利，一年5天，報到當年度依在職時間做比例計算給假。而特休假則是同仁於公司服務滿一定期間後，依法令規定以周年制給與的假期，天數會隨著服務年資增加而增加。您可以至HR Portal""我的假期查詢""中查詢您的休假狀況。若有任何疑問，歡迎聯繫Yui/#8836/YuiWong@wistronits.com。"
