prompt,completion
"q:公司的班別有哪些？
 a: END"," 公司主要都是以配合客戶及工作專案時間為主，所以大部分都是周休二日，而少部分因配合客戶工作而是以輪班制的規則性質

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:午休時間是幾點到幾點？
 a: END"," 中午休息固定休息1小時，訂為12:00~13:00；駐點於客戶現場員工，則依客戶及專案需求為主

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:加班時間從何時開始認定？
 a: END",
"q:我該如何查詢我的特休假可休／剩餘天數？
 a: END"," 請至HR Portal""我的假期查詢""中查詢

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我該如何查詢我的休假狀況？
 a: END"," 請至HR Portal""我的假期查詢""中查詢

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:系統上的假有問題，我該找誰處理？
 a: END"," 請您附上錯誤訊息的電腦畫面截圖，並寄信給人資部承辦人處理

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:請問可以把我的假單退回嗎？
 a: END"," 請審批人駁回您的假單，您再收回刪除就可以；如果沒有任何審批紀錄，可以自行收回刪除

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我申請錯假別／計畫取消休假，該怎麼辦？
 a: END"," 若假單還沒審批完成，可請審批人收回審批，申請人就可以去調整時數或類別；若假單已審批完成，請提出銷假申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我要申請銷假單，如何處理？
 a: END"," 至HR Portal提出銷假申請，休假起訖時間調整為實際休假時間
銷假申請流程：https://reurl.cc/QWDmM5

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如果逢颱風假／天然災害而停止上班，但客戶緊急要求上班，可以拒絕嗎？
 a: END"," 可以拒絕，但若出勤，會額外給付加班費(依休息日加班費計算)

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我原本申請休假，如果逢颱風假／天然災害而停止上班，如何處理？
 a: END"," 颱風假或天然災害停止上班並不等同於放假，已經申請的假單還是會被認定請假

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我居住地宣布颱風假，但工作地未宣布，請問我該上班嗎？
 a: END"," 居住地或工作地以及上班正常路線當地縣市宣布放颱風假，當日就不用上班。
例如您居住在新竹，平常都是通勤到台北上班，當日新竹台北都正常上班，但桃園市政府宣布停班停課，則您當天可視為颱風假

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:若遇天然災害，颱風假於當天宣布，但我看天氣晴朗沒有異常而去公司上班，請問可以視為加班嗎？
 a: END"," 颱風假出勤會給予加班費，與一般加班流程一樣，先取得客戶和主管的同意；且於颱風假自主出勤若有意外發生，責任難以認定，請務必事先徵詢主管的同意。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我因公受傷，可以申請公傷假嗎？
 a: END"," 可以，若上下班途中車禍請提供報案三聯單及診斷證明；若是職業傷病，請提供診斷證明

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我要如何在系統選擇特休假／補休假／彈性假／遞延假？
 a: END"," 請在請假系統內的休假類別中選擇

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我的特休假天數不夠用，該怎麼辦？
 a: END"," 改請個人假、事假，若您所有假期都請完，卻有不可抗因素一定要請假，請與主管及人資部溝通詢問

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我的特休假天數沒用完怎麼辦？
 a: END"," 可以展延至下一年度再使用，或是換成代金
「特休結算方式線上申請」功能：
1.申請路徑：「登入HR Portal→HR 自助→勤務管理→特休結算方式」勾選未休時數結算方式並提交申請，待HR完成審核後，當年度未休畢之時數將予以遞延或折現；同仁可於結轉日後至「我的假期查詢－上期結餘」進行確認。
2.同仁可於當年度特休期間依個人需求提出結算方式的變更申請，HR將在您的特休週年結轉日前7日，依最後一筆系統紀錄辦理您的特休結算方式。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我剩餘的特休假天數，辦理展延會有上限嗎？
 a: END"," 剩餘的特休假天數都可以辦理展延，但每一年的特休假只能展延一次

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我的個人假天數沒用完怎麼辦？
 a: END"," 當年度個人假沒用完，系統將自動歸零，所以休假可以考慮先使用個人假

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我的特休展延假天數沒用完怎麼辦？
 a: END"," 遞延假指的是特休假的展延，若於展延後一年仍未休完，會直接轉換為代金

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道婚假的規定？
 a: END"," 入職後，於結婚事實三個月內提出申請，8天需一次請完，為有薪假

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:若我婚假無法在三個月內申請，怎麼辦
 a: END"," 請寫簽呈上簽至事業單位主管核准，最長可展延至1年內休完婚假。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道喪假的規定？
 a: END"," 入職後，有喪假事由得提出申請，依據親屬關係天數不一，得分開請假，為有薪假
1.父母、養父母、繼父母、配偶喪亡者，給假八天(不含假日)。
2.祖父母、外祖父母、子女、配偶之父母或其養父母或其繼父母喪亡者，給假六天(不含假日)。
3.曾祖父母、兄弟姐妹、配偶之祖父母、配偶之外祖父母喪亡者，給假三天(不含假日)。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道產假的規定？
 a: END"," 年資滿6個月，有分娩事實得提出申請，最遲須於分娩當天開始申請，8周需一次請完，為有薪假；年資未滿6個月，給半薪（僅供女性員工申請）

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道產檢假的規定？
 a: END"," 妊娠時產檢需求可申請，單次妊娠期間享有7天，第6日、第7日需填寫受僱者聲明書正本寄回，得分開請假，且為有薪假(僅供女性員工申請)。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道陪產檢及陪產假的規定？
 a: END"," 配偶妊娠期間之產檢需求與分娩當天前後15天內得申請共7天，第6日、第7日需填寫受僱者聲明書正本寄回，得分開請領，為有薪假（僅供男性員工申請）

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道病假的規定？
 a: END"," 身體不舒服、有就醫需求可申請，一年30天，半薪；連續請3天以上需附上就醫證明

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道生理假的規定？
 a: END"," 女性同仁因生理日致工作有困難者，得以小時為單位請生理假。全年合計不得超過三日，薪資折半發給。超出部份併入員工普通傷病假(半薪)計算。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道個人假的規定？
 a: END"," 為公司以優於勞基法的休假方式給予的有薪假福利，一年5天，報到當年度依在職時間做比例計算給假

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道事假的規定？
 a: END"," 有請假需求，又無特休或個人假可以使用時，可以以小時為單位提出申請，一年14天，不給薪

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道特休假的規定？
 a: END"," 同仁於公司服務滿一定期間後，依法令規定以周年制給與特休假。同仁得以小時為單位申請：
 1.半年以上一年未滿者，給假三日。
 2. 一年以上未滿兩年者，給假七日。
 3.兩年以上未滿三年者，給假十日。
 4.三年以上未滿五年者，給假十四日。
 5.五年以上未滿十年者，給假十五日。
 6.十年以上者，每一年加給一日，加至三十日為止。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道家庭照顧假的規定？
 a: END"," 有家庭照顧需求時可提出，一年7天，併入事假天數計算，無給薪

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道公假的規定？
 a: END"," 公假只針對教召、謀職假或其他法定需求給予，如為上述之原因，請以Mail向人資部承辦人申請，人資部會於系統放上公假時數。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我收到教召令，該如何請假？
 a: END"," 請將教召令寄給人資部承辦人，人資部會於系統放上公假時數。至HR Portal請假時，記得將教召令上傳於附件供主管簽核參考

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:教召期間如適逢休息日或例假，公司是否會另給予補假？
 a: END"," 目前教召公假認定是針對工作日，如適逢休息日或例假，公司將不另給補假

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我的假單無法送出？有錯誤訊息？
 a: END"," 請將問題畫面截圖Mail寄給承辦人，待系統廠商解決問題，承辦人會再回覆您

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我可以幫別人申請休假嗎？
 a: END"," 為了避免爭議，自己的休假請自己申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:同一張假單可以申請二種假別嗎？
 a: END"," 一張假單只能有一種假別，不同休假類別請分開申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:請假超過幾天，簽核的主管會不會有變動？(或是會簽到哪位高階主管)
 a: END"," 連續三天以上，會簽核到二階主管或更高主管

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:請假時代理人要填誰？(駐點同仁只有一人)
 a: END"," 請跟您的主管詢問，看是填寫主管還是負責的CSR同仁

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道各種假別的請假最小單位？
 a: END"," 請至HR Portal""我的假期查詢""中，針對不同類別有最小請假單位的註記

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我在駐點單位的休假該如何申請？
 a: END"," 所有休假一定都要上HR Portal提出申請，但公司每個主管和客戶主管的要求可能都不一樣，建議與主管確認請假時要怎麼跟客戶主管提出（可能以Email或口頭)，得到客戶主管的同意後將證明文件上傳於HR Portal假單附件

請假申請流程：https://reurl.cc/9XGOnO

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道疫苗接種假的規定？
 a: END"," 疫苗接種假規定如下：

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我想知道請假暨出勤辦法、獎懲管理辦法？
 a: END"," 員工請假規定：（詳員工請假暨出勤辦法第七條）
1.同仁請假一律須於休假前取得核決主管同意，確認獲准休假後，方可休假，請假未獲准而擅離職守者，以曠職論處。
2.同仁如遇有急病、緊急事故或特殊原因無法提前辦理請假手續時，得於請假當日以電話口頭報告直屬主管，並委託職務代理人代辦請假手續，或於請假結束後三日內補辦請假手續並檢附相關證明文件。
3.於客戶端工作之同仁，請假前應先徵得客戶端權責主管同意，並配合客戶端之請假相關辦法執行，客戶同意後，始依公司規定辦理請假手續。
4.未依上述公司規定辦理請假手續者，公司得指定人員以「事假」代為辦理；並得依獎懲管理辦法議處。
5.同仁請假前應先與職務代理人排定工作代理事項，並經職務代理人會簽及核決主管核准後，始得休假。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:公司每年會在何時進行績效考核？
 a: END"," 每年6月與12月

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:績效考核的等級分為哪些？
 a: END"," 特優、優+、優、優-、甲+、甲、甲-、乙

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:駐點員工的考核該如何評比？
 a: END"," 依員工績效考核辦法辦理，請留意人資單位發出的作業通知

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:試用期考核結果有哪些？
 a: END"," 試用期考核結果有三種
1.通過
2.不通過
3.延長考核(最多延長一次，最長三個月)

Contact:Judy/#8953/JudyHsueh@wistronits.com END"
"q:試用期考核延長次數有限制嗎？
 a: END"," 最多延長一次，最長三個月

Contact:Judy/#8953/JudyHsueh@wistronits.com END"
"q:公司有哪些員工福利？
 a: END"," 1.公司有成立福委會，舉辦全公司性質的中大型活動，會以Mail公告周知所有的同仁，歡迎各位同仁報名參加。

2.公司有團保，在同仁入職起第一天即享有住院、醫療實支實付，通過試用期考核後則會將您的配偶跟子女免費加保。

3.端午、中秋及生日禮券額度500元及春節禮券1000元。

4.福委會及公司之婚喪喜慶、殘歿及災害補助。

5.優於勞基法的休假，每年多給5天的個人假，試用期考核通過後，則依當年度在職日數比例計算個人假天數。

6.入職滿三個月，享有年度健康檢查。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:員工福利的請領資格？
 a: END"," 1.福委會之三節及生日禮券領取資格：正職及約聘員工，且領取禮券前已繳納福利金。

2.家屬的團保福利資格：正職人員且通過試用期考核。

3.年度健康檢查資格：任職滿三個月的正職員工及約聘員工。

4.正職員工通過試用期考核後，取得個人假時數。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:如何申請員工進修補助？
 a: END"," 1.如與工作相關之進修，由主管指派，並向承辦人索取外訓申請單。並提供課程名稱、內容、大綱及結訓證明及發票。上BPM填寫費用申請單。公司會提供全額補助。

2.如為個人申請之進修，請報准權責主管同意後，向承辦人索取外訓申請單，並提供課程名稱、內容、大綱及結訓證明及發票。上BPM填寫費用申請單。由權責主管核定提供全額或部分補助。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:如何申請專業證照考試費用補助？
 a: END"," 如與工作相關之證照考試，由主管指派，並向承辦人索取外訓申請單。並提供課程名稱、內容、大綱及結訓證明及發票。上BPM填寫費用申請單。公司會提供全額考試費用補助。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:我想知道關於三節的福利內容？
 a: END"," 端午、中秋禮券各500元、春節禮券1000元。

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:我想知道生日相關的福利？
 a: END"," 為祝賀同仁生日，福委會將致贈生日禮券500元。

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:駐點員工的年節禮券禮品該如何領取？
 a: END"," 會以郵寄的方式，或是由專人送到您手中

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:駐點員工要如何參與下午茶的活動？
 a: END"," 每人每月都有下午茶70元的福利，但使用方式由各單位主管安排，以團隊申請為原則。

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:駐點下午茶一定要以月為單位使用嗎？我想要累積一季費用使用可以嗎？
 a: END"," 下午茶活動尊重各駐點安排，可以月、雙月或是季度舉辦，但原則應為團體使用。

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:駐點員工今年度的下午茶沒用完，可以明年繼續使用嗎？
 a: END"," 當年度經費於年底前均可使用，但無法遞延至次年度。

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:我想知道員工旅遊的舉行方式及時間？
 a: END"," 每年度時間不一，請三不五時收收Email，我們會在活動辦理前一個月以Mail方式公告所有同仁，歡迎大家踴躍參加

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:我想知道年度健檢的辦理方式及時間？
 a: END"," 公司通常會於每年的第四季辦理年度健康檢查，公司會請健檢承辦的醫療院所至公司辦理相關健檢作業，並請各位同仁回公司參加健康檢查。如果因為公務實在走不開，則會請您跟公司合作的醫院預約時間後，親自赴院參加健康檢查。

Contact:VicChao/#8927/VicChao@wistronits.com END"
"q:到職未滿一年會依比例發放年終獎金嗎？
 a: END"," 公司的年終獎金預算總額是依照該年度公司整體的營運績效結果而定，個人之獎金額度則會根據所屬事業單位的營運績效及個人考績進行計算。至於同仁在獎金年度期間入職的，因年資未滿一年，所以會依在職比例來計算。而在新一年度入職的，就不列入發放對象了。

Contact:Judy/#8805/JudyChen@wistronits.com END"
"q:每年年終獎金會在何時發放？
 a: END"," 年終暨績效獎金原則會在農曆春節假期前發放，發給發放日當天仍在職的適用對象同仁，讓同仁可以好好採買年貨，過好年。

Contact:Judy/#8805/JudyChen@wistronits.com END"
"q:我想知道公司績優員工認股制度？
 a: END"," 公司鼓勵同仁能夠持有公司的股票，以達休戚與共、利潤共享的目的，所以舉凡庫藏股、現金增資，皆會對於績優同仁提供員工認股的機會，讓大家一圓當老闆的夢。相關認股辦法因性質不同，請同仁留意公司當次作業之個別通知。

Contact:Judy/#8805/JudyChen@wistronits.com END"
"q:試用期間有哪些福利沒有？
 a: END"," 1.個人假
2.眷屬的團體保險
3.入職滿三個月方享有年度健康檢查。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:我想加入福委會，要如何申請？
 a: END"," 福委會的委員採一年一任，每年在11月進行改選，如果您對福利活動辦理非常熱衷，可採
1.自我推薦
2.主管指派的方式參加競選

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:目前公司有那些社團？
 a: END"," 目前公司有六個社團，志工社、慢跑社、羽球社、桌遊社、瑜珈社以及玩轉音樂社，歡迎各位同仁加入

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:如何申請結婚賀儀？
 a: END"," 請先來信告知承辦人您的員工編號及申請事由，備妥喜帖正本2份或戶籍謄本影本2份，交給承辦人辦理或郵寄至新北市汐止區新台五路一段93號32樓－賴文政先生
*提醒您，依稅法規定，申請對象為公司之補助將納入年度薪資所得

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:如何申請喪葬奠儀？
 a: END"," 請先來信告知承辦人您的員工編號及申請事由，備妥訃聞正本2份或死亡證明影本2份，交給承辦人辦理或郵寄至新北市汐止區新台五路一段93號32樓－賴文政先生
*提醒您，依稅法規定，申請對象為公司之補助將納入年度薪資所得

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:如何申請生育賀儀？
 a: END"," 請來信告知承辦人您的員工編號及申請事由，並附上新生兒的出生證明影本。
*提醒您，依稅法規定，申請對象為公司之補助將納入年度薪資所得

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:如何申請住院慰問？
 a: END"," 請來信告知承辦人您的員工編號及申請事由，並附上診斷證明影本。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:如何申請傷殘慰問？
 a: END"," 請來信告知承辦人您的員工編號及申請事由，並附上身心障礙手冊影本。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:公司好像有新人手冊，請問要如何獲取？
 a: END"," 公司有提供新人手冊讓新人快速認識公司，詳細請參閱新人手冊。

Contact:Jayce/#8895/JayceLai@wistronits.com END"
"q:我有資料缺繳，應該補繳給誰？沒有繳會有什麼後果？
 a: END"," 補繳文件窗口為任用通知單報到聯絡人；若是資料未繳齊，會有稽核部門進行抽查，請大家記得要將報到資料繳齊。

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:公司對員工有服裝儀容規定嗎？
 a: END"," 乾淨、整齊、得體即可。

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:駐點人員報到時資料缺繳要如何補交？
 a: END"," 可以Email或郵寄方式補交
Email：請將資料電子檔Email給ChoyaLee(ChoyaLee@Wistronits.com)
郵寄：請郵寄至新北市汐止區新台五路一段93號32樓－李卿華小姐

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:公司有提供教育訓練嗎？
 a: END"," 公司會依據當年度的營運方針舉辦教育訓練課程，內容可分為兩種
1.內部訓練
2.外部訓練

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:內部教育訓練課程有哪些內容？
 a: END"," 內部訓練課程，主要分成
1.管理課程
2.職能課程
3.通識課程

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:內部教育訓練都會在何時舉行以及如何報名？
 a: END"," 每年度時間不定，課程內容及時間將會以郵件及張貼海報公告供同仁報名參加。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:內部教育訓練有規定一定要參加嗎？
 a: END"," 內部訓練是公司提供之資源，雖不強制參加，但仍希望您能盡量排除困難，踴躍參加訓練以提升自己的能力

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:駐點員工要如何參加內部教育訓練？
 a: END"," 依據課程規劃不同，有下兩種方式進行。
1.於課程時間到定點進行實體課程。
2.參與錄影或線上直播課程。

Contact:Jason/#8845/Jasonlai@wistronits.com END"
"q:留職停薪如何申請？
 a: END"," 與部門主管提出申請，員工服務中心收到主管的正式通知後會開始進行留職停薪流程

Contact:Judy/#8953/JudyHsueh@wistronits.com END"
"q:留職停薪期間，我的權利義務有哪些？
 a: END"," 您有復職的權利，若非育嬰留職停薪，勞保續保於公司者，有每月繳納員工負擔保費給公司的義務

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:育嬰留停的津貼要如何請領？
 a: END"," 在辦理留職停薪時，會一併請您填寫留職停薪津貼申請書，可領6個月六成投保薪資

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:在職證明如何申請？
 a: END"," 請以E-mail通知主管，經主管同意後來信向承辦人申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我預計要辦離職，但我還有剩餘的婚假／喪假／產假／陪產檢及陪產假尚未使用，公司會折換薪資嗎？
 a: END"," 婚假/喪假/產假/陪產檢及陪產假若未請完，無法結算薪資。勞基法規定需提出適當證明文件之假別，不予結算薪資。

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:我預計要辦理離職，我要如何得知我的剩餘休假天數？
 a: END"," 請至HR Portal""我的假期查詢""去查詢，唯一要注意的是＂個人假＂是以當年度在職比例計算，所以即使您看到您今年度可享有40小時個人假，在離職結算時還是會依比例計算，如果不知道怎麼算，請來信詢問承辦人

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我打算離職，該如何提出申請？
 a: END"," 與部門主管提出申請，員工服務中心收到主管的正式通知後會開始進行離職流程

Contact:Judy/#8953/JudyHsueh@wistronits.com END"
"q:申請離職有哪些注意事項？
 a: END"," 1.請在BPM表單中完成資產異動申請
2.工作內容交接
3.內部系統移轉
4.請假加班申請單請主管簽核完成

Contact:Judy/#8953/JudyHsueh@wistronits.com END"
"q:我該如何申請汽機車停車位？費用分別是多少？
 a: END"," 一、汽、機車車位，請您向地下四樓 (B4)的停管中心租用。
機車車位：1個月/400元
汽車車位：1個月/3300元
＊請依停管中心公告為主。

二、公司自有的汽車停車位位於B7地下七樓。
員工優惠價:平面車位 2000元/月、機械車位1500元/月；因車位數量有限，如有需要請向櫃台詢問登記。

Contact:VicChao/#8927/VicChao@wistronits.com END"
"q:我該如何申請會議室使用？
 a: END"," 請上會議室預約系統https://meeting.wistronits.com/

Contact:  END"
"q:公司中午會統一訂便當嗎？要怎麼訂？
 a: END"," 每日公司代訂便當截止時間：10:00am。每日透過EIP訂便當及更換廠商，也可至櫃台訂購便當，費用以當天廠商提供餐點計費並以月結方式於當月薪資中扣除。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:我該如何申請名片？
 a: END"," 請至在IT部門附近的狩獵區文具櫃裡，索取名片申請單並填妥相關資料->權責主管簽核->人資部Maggie->承辦人員Anita辦理。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:我的門禁卡遺失了，要如何重新設定？
 a: END"," 繳交卡片工本費500元，請總務同仁重新發放新卡。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我該如何申請文具？
 a: END"," 公司提供一般文具可自行取用，文具櫃位置在IT部門附近的狩獵區，拿取文具後請在文具領用表上登記內容。
若屬特殊文具，請填寫綠單申請->主管簽核->交給Anita訂購。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:我要如何使用公司的影印機？
 a: END"," 憑員工識別門禁卡至影印機註冊後，即可使用。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:若因公外出，有提供交通費補助或是公司車使用嗎？
 a: END"," 1.公出後，請妥善保管車票或收據→上簽核系統BPM填寫""費用及報銷申請單""→系統流程簽核後，列印出""已歸檔表單""並附上證明單據→紙本交財務部→費用匯薪資帳戶。
2.公司無公務車可供使用

Contact:VicChao/#8927/VicChao@wistronits.com END"
"q:若因業務需要，有提供電信費補助嗎？
 a: END"," 補助方式及與電信公司特約優惠方案說明，如下：
一. 適用對象：
1.課級以上(含)主管
2.工作業務所需(如業務、CSR、員工服務、招募、執行長室…)。
3.優異表現特許之員工。
4.專案呈報經執行長核准。
5.以其他名目形式補助電信費的同仁，不得重複申請。

上述須通過試用期且為正職員工；副總經理(含以上職等)及總處最高主管電信費用為實報實銷，不再重複補助。

二. 作業規範及申請方式：
1.行動電話通信費系指：行動電話門號衍生之月租費、通話費、簡訊費、傳輸費、網際網路費等費用。
2.凡符合上述適用對象之員工，可向公司櫃台專員提出申請。工作業務所需及優異表現特許之員工，應出具行動電話通信費補助同意書(附表一)，且經部級(含)以上主管核准才可辦理。
3.公司和遠傳、中華、台灣大哥大等三家電信公司專案合作，符合補助資格且申辦通過之員工，由公司每月補助最高上限500元行動電話通信費。
4.適用同仁手機門號攜碼/新辦/續約等申請方式，加入公司特約合作之遠傳、中華、台灣大哥大等三家電信業者，且須加入緯創軟體MVPN群組。
5.手機門號須員工本人名下擁有，如已有加入其他MVPN群組，請事先電洽電信業者客服申請退出。

三. 補助方式：
1.公司補助：自開通加入指定配合電信MVPN群組日起，當月按結算日依比例計算補助金額，次月起公司每月補助最高上限500元電信費。
2.員工自付：每月帳單超過500元部分，將另外出帳單給同仁自行繳費。
3.中途申請退出MVPN群組，或離職、留職停薪員工，當月補助金額結算至退出日依比例計算。

四. 企業電信優惠方案申請資格 (全體員工適用)
1.為提供緯軟同仁員工優惠，特約「中華電信」、「遠傳電信」及「台灣大哥大」，凡公司員工及員眷(一等親)個人門號均可申辦企業優惠方案，
方案內容及申請方式可洽公司櫃台專員。
2.提供之優惠方案為常態性申辦，若電信業者有其他短期促銷方案提供，請同仁自行評估後再申請。

五. 注意事項：
1.同仁攜碼轉換門號時，如有產生違約金，由同仁自行負擔。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:因工作需要，經常會在外使用私人手機與客戶連絡，有提供費用補貼或是公務機嗎？
 a: END"," 1.電信費用補貼：請提供通話清單，將公務話費明顯標示出來(如：廠商名稱，聯絡人)->上BPM系統填寫費用申請單→經主管簽核後列印出已歸檔表單並附上通話清單→交財務部→費用匯薪資帳戶。
2.公務手機：公司無提供公務手機給同仁使用。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:分機或話機申請
 a: END"," 請以E-mail向單位最高主管請示，經主管同意後來信向承辦人申請並C.C給IT部門的林政男(chengnanlin@wistronits.com)

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:公司分機要如何撥打外線？
 a: END"," 拿起話筒按9，即可撥打外線

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:公司分機可以直撥海外同仁的分機號碼嗎？
 a: END"," 撥打大陸各分公司請使用VoIP線路撥打，請向櫃台人員詢問。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:我該如何申請公司的台灣大車隊APP企業會員？
 a: END"," 請洽承辦人索取""企業成員資格申請表""填寫→處級主管簽核→每月20日前，若未完成交通費報銷，將由申請人的薪資抵扣交通費

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:我想知道使用台灣大車隊APP的相關規定？
 a: END"," 請參考""企業成員資格申請表""。請找總務單位同仁索取

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:公司有提供微波爐加熱便當嗎？
 a: END"," 在公共區的茶水間有提供微波爐及蒸飯機供同仁使用。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:員工休息區的咖啡要付費嗎？
 a: END"," 為了幫辛苦工作的同仁加油打氣，咖啡將免費供應。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:公司有提供衛生紙嗎？
 a: END"," 廁所的衛生紙由大樓準備，如果廁所的衛生紙用罄，請向櫃台總務人員告知。至於同仁辦公室內位置的衛生紙需自行準備。

Contact:Anita/#8888/AnitaChen@wistronits.com END"
"q:辦公室冷氣太強太弱要怎麼調？
 a: END"," 請向總務同仁反應。

Contact:VicChao/#8927/VicChao@wistronits.com END"
"q:識別證遺失該如何補發？
 a: END"," 請向總務同仁登記補發。

Contact:Yui/#8831/YuiWong@wistronits.com END"
"q:識別證掛繩若損壞破舊可以換嗎？
 a: END"," 可以。請向總務同仁登記更換

Contact:Anita/#8888/AnitaChen@wistronits.com END"
